Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mmim,"(82.94, 0.15)","(82.86, 0.1)","(84.6, 0.61)","(84.57, 0.58)","(52.34, 0.43)","(45.48, 1.31)","(72.96, 0.51)","(78.54, 0.68)","(73.48, 0.01)"
mmim,"(81.92, 0.0)","(81.93, 0.0)","(83.54, 0.0)","(83.6, 0.0)","(49.85, 0.0)","(42.71, 0.0)","(75.06, 0.0)","(77.62, 0.0)","(74.3, 0.0)"
